LL	Hydro
902	hydrophobic
904	hydrophobic
905	hydrophobic
905	hydrophobic
909	hydrophobic
917	hydrophobic
919	hydrophobic
924	hydrophobic
929	hydrophilic
931	hydrophobic
943	hydrophobic
944	hydrophilic
948	hydrophilic
949	hydrophilic
951	hydrophilic
954	hydrophilic
955	hydrophobic
956	hydrophobic
957	hydrophobic
959	hydrophobic
963	hydrophilic
968	hydrophobic
972	hydrophobic
973	hydrophobic
974	hydrophobic
976	hydrophilic
976	hydrophobic
977	hydrophilic
978	hydrophobic
983	hydrophobic
984	hydrophobic
988	hydrophobic
989	hydrophobic
991	hydrophobic
993	hydrophobic
994	hydrophobic
995	hydrophobic
996	hydrophobic
997	hydrophobic
998	hydrophobic
999	hydrophobic
1000	hydrophobic
1001	hydrophobic
1002	hydrophobic
1003	hydrophobic
1005	hydrophobic
1010	hydrophobic
1012	hydrophobic
1014	hydrophobic
1015	hydrophobic
1017	hydrophobic
1018	hydrophobic
1020	hydrophobic
1021	hydrophobic
1022	hydrophobic
1024	hydrophobic
1026	hydrophobic
1027	hydrophobic
1028	hydrophobic
1029	hydrophobic
1029	hydrophobic
1029	hydrophobic
1029	hydrophobic
1030	hydrophobic
1030	hydrophobic
1031	hydrophobic
1031	hydrophobic
1032	hydrophilic
1032	hydrophilic
1040	hydrophilic
1041	hydrophobic
1044	hydrophobic
1047	hydrophobic
1048	hydrophobic
1054	hydrophobic
1058	hydrophobic
1059	hydrophobic
1060	hydrophobic
1062	hydrophobic
1066	hydrophobic
1068	hydrophobic
1069	hydrophobic
1070	hydrophobic
1071	hydrophilic
1075	hydrophobic
1080	hydrophilic
1082	hydrophobic
1101	hydrophobic
1102	hydrophobic
1103	hydrophobic
1105	hydrophobic
1106	hydrophobic
1108	hydrophobic
1109	hydrophobic
1113	hydrophobic
1114	hydrophobic
1116	hydrophobic
1117	hydrophobic
1118	hydrophobic
1119	hydrophobic
1122	hydrophobic
1128	hydrophobic
1129	hydrophilic
1130	hydrophobic
1131	hydrophobic
1132	hydrophilic
1133	hydrophobic
1134	hydrophilic
1140	hydrophobic
1141	hydrophilic
1143	hydrophilic
1144	hydrophobic
1145	hydrophilic
1149	hydrophobic
1160	hydrophobic
1161	hydrophobic
1163	hydrophobic
1164	hydrophobic
1174	hydrophobic
1174	hydrophobic
1175	hydrophobic
1176	hydrophobic
1178	hydrophobic
1179	hydrophobic
1180	hydrophilic
1182	hydrophilic
1183	hydrophilic
1184	hydrophilic
1185	hydrophilic
1188	hydrophilic
1192	hydrophobic
1193	hydrophobic
1196	hydrophobic
1196	hydrophobic
1198	hydrophobic
1198	hydrophobic
1200	hydrophobic
1207	hydrophobic
1208	hydrophilic
1211	hydrophobic
1212	hydrophobic
1213	hydrophobic
1216	hydrophobic
1230	hydrophilic
1231	hydrophilic
1234	hydrophilic
1235	hydrophilic
1235	hydrophilic
1238	hydrophilic
1241	hydrophilic
1244	hydrophilic
1261	hydrophobic
1263	hydrophobic
1266	hydrophobic
1268	hydrophilic
1269	hydrophilic
1270	hydrophobic
1272	hydrophobic
1277	hydrophobic
1278	hydrophobic
1281	hydrophobic
1282	hydrophobic
1284	hydrophobic
1285	hydrophobic
1285	hydrophobic
1285	hydrophobic
1285	hydrophobic
1285	hydrophobic
1286	hydrophobic
1287	hydrophobic
1288	hydrophobic
1289	hydrophobic
1290	hydrophobic
1291	hydrophobic
1292	hydrophobic
1292	hydrophobic
1292	hydrophobic
1293	hydrophobic
1293	hydrophobic
1293	hydrophobic
1293	hydrophobic
1293	hydrophobic
1294	hydrophobic
1295	hydrophobic
1297	hydrophobic
1297	hydrophobic
1298	hydrophobic
1299	hydrophobic
1300	hydrophobic
1301	hydrophobic
1303	hydrophobic
1306	hydrophobic
1307	hydrophobic
1308	hydrophobic
1310	hydrophobic
1311	hydrophobic
1312	hydrophilic
1312	hydrophobic
1314	hydrophobic
1327	hydrophobic
1329	hydrophobic
1349	hydrophobic
1350	hydrophobic
1351	hydrophilic
1352	hydrophilic
1353	hydrophobic
1355	hydrophilic
1355	hydrophilic
1356	hydrophobic
1357	hydrophobic
1358	hydrophobic
1359	hydrophobic
1360	hydrophobic
1361	hydrophobic
1362	hydrophobic
1363	hydrophobic
1364	hydrophilic
1368	hydrophobic
1369	hydrophobic
1374	hydrophobic
1375	hydrophobic
1376	hydrophobic
1378	hydrophobic
1378	hydrophobic
1381	hydrophobic
1382	hydrophobic
1385	hydrophobic
1386	hydrophobic
1389	hydrophobic
1392	hydrophobic
1393	hydrophobic
1397	hydrophobic
1406	hydrophobic
1410	hydrophobic
1412	hydrophobic
1412	hydrophobic
1415	hydrophobic
1417	hydrophobic
1418	hydrophobic
1428	hydrophilic
1429	hydrophilic
1431	hydrophobic
1432	hydrophobic
1437	hydrophobic
1441	hydrophobic
1442	hydrophobic
1444	hydrophilic
1464	hydrophobic
1465	hydrophobic
1466	hydrophobic
1472	hydrophobic
1473	hydrophobic
1474	hydrophobic
1477	hydrophobic
1479	hydrophobic
1485	hydrophobic
1487	hydrophobic
1488	hydrophobic
1490	hydrophobic
1499	hydrophobic
1500	hydrophobic
1501	hydrophobic
1503	hydrophobic
1508	hydrophobic
1514	hydrophobic
1519	hydrophobic
1521	hydrophobic
1535	hydrophilic
1536	hydrophilic
1539	hydrophobic
1543	hydrophobic
1545	hydrophobic
1548	hydrophobic
1549	hydrophobic
1551	hydrophobic
1555	hydrophobic
1557	hydrophobic
1562	hydrophobic
1565	hydrophobic
1571	hydrophobic
1572	hydrophobic
1573	hydrophobic
1576	hydrophobic
1577	hydrophobic
1579	hydrophobic
1580	hydrophobic
1581	hydrophobic
1582	hydrophobic
1583	hydrophobic
1586	hydrophobic
1589	hydrophobic
1591	hydrophobic
1592	hydrophobic
1592	hydrophobic
1593	hydrophobic
1594	hydrophobic
1595	hydrophobic
1601	hydrophobic
1603	hydrophilic
1605	hydrophobic
1606	hydrophobic
1607	hydrophobic
1609	hydrophobic
1610	hydrophobic
1611	hydrophobic
1613	hydrophobic
1615	hydrophobic
1616	hydrophobic
1617	hydrophobic
1618	hydrophobic
1620	hydrophobic
1621	hydrophobic
1622	hydrophobic
1627	hydrophobic
1633	hydrophobic
1636	hydrophobic
1643	hydrophobic
1647	hydrophobic
1652	hydrophilic
1655	hydrophobic
1656	hydrophobic
1660	hydrophobic
1662	hydrophobic
1663	hydrophobic
1665	hydrophobic
1666	hydrophobic
1669	hydrophilic
1671	hydrophobic
1672	hydrophilic
1674	hydrophobic
1675	hydrophobic
1676	hydrophobic
1677	hydrophobic
1678	hydrophobic
1687	hydrophilic
1690	hydrophobic
1719	hydrophobic
1723	hydrophobic
1725	hydrophobic
1725	hydrophobic
1725	hydrophobic
1727	hydrophobic
1727	hydrophobic
1730	hydrophobic
1733	hydrophobic
1734	hydrophobic
1734	hydrophobic
1735	hydrophobic
1736	hydrophobic
1737	hydrophobic
1738	hydrophobic
1740	hydrophobic
1742	hydrophobic
1746	hydrophobic
1748	hydrophobic
1755	hydrophobic
1755	hydrophobic
1756	hydrophobic
1756	hydrophobic
1756	hydrophobic
1756	hydrophobic
1756	hydrophobic
1756	hydrophobic
1756	hydrophobic
1756	hydrophobic
1756	hydrophobic
1756	hydrophobic
1756	hydrophobic
1756	hydrophobic
1756	hydrophobic
1756	hydrophobic
1756	hydrophobic
1756	hydrophobic
1756	hydrophobic
1756	hydrophobic
1760	hydrophobic
1761	hydrophobic
1767	hydrophobic
1769	hydrophobic
1770	hydrophobic
1770	hydrophobic
1777	hydrophobic
1781	hydrophobic
1786	hydrophobic
1788	hydrophobic
1793	hydrophobic
1796	hydrophobic
1798	hydrophilic
1801	hydrophobic
1802	hydrophobic
1803	hydrophobic
1804	hydrophobic
1805	hydrophobic
1806	hydrophobic
1807	hydrophobic
1810	hydrophobic
1811	hydrophilic
1812	hydrophilic
1813	hydrophilic
1814	hydrophilic
1815	hydrophilic
1819	hydrophobic
1821	hydrophobic
1822	hydrophobic
1828	hydrophobic
1829	hydrophobic
1830	hydrophobic
1831	hydrophobic
1836	hydrophilic
1837	hydrophobic
1837	hydrophobic
1837	hydrophobic
1838	hydrophobic
1840	hydrophobic
1842	hydrophobic
1843	hydrophilic
1844	hydrophilic
1845	hydrophobic
1846	hydrophobic
1846	hydrophobic
1847	hydrophobic
1848	hydrophobic
1850	hydrophobic
1855	hydrophobic
1856	hydrophobic
1857	hydrophobic
1861	hydrophobic
1870	hydrophobic
1871	hydrophobic
1875	hydrophobic
1876	hydrophobic
1877	hydrophobic
1890	hydrophilic
1891	hydrophobic
1893	hydrophobic
1896	hydrophobic
1901	hydrophilic
1902	hydrophilic
1902	hydrophilic
1907	hydrophobic
1908	hydrophobic
1910	hydrophilic
1910	hydrophilic
1911	hydrophobic
1912	hydrophobic
1917	hydrophobic
1933	hydrophobic
1936	hydrophobic
1942	hydrophobic
1943	hydrophobic
1946	hydrophobic
1948	hydrophobic
1949	hydrophobic
1950	hydrophobic
1951	hydrophobic
1952	hydrophobic
1959	hydrophobic
1994	hydrophobic
1995	hydrophobic
1997	hydrophobic
2001	hydrophobic
2005	hydrophobic
2006	hydrophilic
2009	hydrophobic
2010	hydrophobic
2012	hydrophilic
2014	hydrophilic
2015	hydrophilic
2018	hydrophobic
2019	hydrophobic
2020	hydrophobic
2021	hydrophobic
2022	hydrophilic
2023	hydrophobic
2026	hydrophobic
2027	hydrophobic
2029	hydrophobic
2033	hydrophobic
2038	hydrophobic
2044	hydrophobic
2047	hydrophobic
2048	hydrophobic
2049	hydrophobic
2050	hydrophobic
2051	hydrophobic
2052	hydrophobic
2054	hydrophobic
2057	hydrophobic
2058	hydrophobic
2068	hydrophobic
2069	hydrophilic
2070	hydrophobic
2071	hydrophobic
2073	hydrophobic
2074	hydrophobic
2077	hydrophobic
2079	hydrophobic
2081	hydrophobic
2091	hydrophobic
2099	hydrophobic
2100	hydrophobic
2108	hydrophilic
2109	hydrophobic
2110	hydrophobic
2118	hydrophobic
2119	hydrophobic
2120	hydrophobic
2121	hydrophobic
2128	hydrophobic
2130	hydrophobic
2131	hydrophobic
2132	hydrophobic
2135	hydrophobic
2137	hydrophobic
2140	hydrophobic
2147	hydrophobic
2149	hydrophilic
2151	hydrophilic
2152	hydrophobic
2153	hydrophobic
2155	hydrophobic
2157	hydrophobic
2158	hydrophobic
2159	hydrophobic
2160	hydrophobic
2161	hydrophobic
2162	hydrophobic
2165	hydrophobic
2166	hydrophobic
2167	hydrophobic
2168	hydrophobic
2169	hydrophobic
2170	hydrophobic
2171	hydrophobic
2172	hydrophobic
2173	hydrophobic
2176	hydrophilic
2179	hydrophobic
2181	hydrophobic
2182	hydrophobic
2184	hydrophobic
2189	hydrophobic
2191	hydrophobic
2192	hydrophobic
2193	hydrophobic
2196	hydrophobic
2199	hydrophobic
2200	hydrophobic
2201	hydrophobic
2202	hydrophobic
2204	hydrophobic
2206	hydrophilic
2207	hydrophilic
2219	hydrophobic
2220	hydrophobic
2224	hydrophobic
2232	hydrophobic
2235	hydrophobic
2237	hydrophobic
2239	hydrophobic
2242	hydrophobic
2243	hydrophobic
2244	hydrophobic
2246	hydrophobic
2246	hydrophobic
2246	hydrophobic
2247	hydrophobic
2249	hydrophilic
2252	hydrophobic
2254	hydrophobic
2255	hydrophobic
2256	hydrophobic
2258	hydrophobic
2259	hydrophobic
2260	hydrophobic
2261	hydrophobic
2262	hydrophobic
2263	hydrophobic
2264	hydrophobic
2266	hydrophobic
2267	hydrophobic
2272	hydrophobic
2280	hydrophobic
2280	hydrophobic
2281	hydrophobic
2281	hydrophobic
2286	hydrophobic
2286	hydrophobic
2287	hydrophobic
2288	hydrophobic
2289	hydrophobic
2294	hydrophobic
2295	hydrophobic
2296	hydrophobic
2297	hydrophobic
2299	hydrophobic
2302	hydrophobic
2304	hydrophobic
2305	hydrophobic
2306	hydrophobic
2309	hydrophobic
2316	hydrophobic
2318	hydrophobic
2319	hydrophobic
2327	hydrophobic
2329	hydrophobic
2330	hydrophobic
2331	hydrophobic
2335	hydrophobic
2335	hydrophobic
2348	hydrophobic
2350	hydrophobic
2352	hydrophobic
2358	hydrophilic
2483	hydrophobic
2488	hydrophobic
2520	hydrophobic
2528	hydrophobic
2530	hydrophobic
2531	hydrophilic
2532	hydrophilic
2534	hydrophobic
2535	hydrophilic
2538	hydrophilic
2543	hydrophobic
2548	hydrophobic
2549	hydrophobic
2550	hydrophobic
2551	hydrophobic
2554	hydrophobic
2555	hydrophobic
2556	hydrophobic
2557	hydrophobic
2558	hydrophobic
2559	hydrophilic
2560	hydrophobic
2561	hydrophobic
2562	hydrophobic
2563	hydrophilic
2566	hydrophobic
2568	hydrophilic
2569	hydrophobic
2570	hydrophobic
2571	hydrophobic
2571	hydrophobic
2572	hydrophobic
2574	hydrophobic
2575	hydrophobic
2576	hydrophobic
2577	hydrophobic
2578	hydrophobic
2581	hydrophobic
2583	hydrophobic
2584	hydrophobic
2585	hydrophobic
2587	hydrophilic
2588	hydrophobic
2589	hydrophobic
2590	hydrophobic
2591	hydrophobic
2592	hydrophobic
2596	hydrophobic
2597	hydrophobic
2617	hydrophobic
2618	hydrophilic
2619	hydrophobic
2620	hydrophobic
2620	hydrophobic
2621	hydrophobic
2622	hydrophobic
2629	hydrophobic
2631	hydrophobic
2632	hydrophobic
2633	hydrophobic
2634	hydrophobic
2639	hydrophobic
2639	hydrophobic
2645	hydrophobic
2646	hydrophobic
2647	hydrophobic
2650	hydrophobic
2651	hydrophobic
2651	hydrophobic
2651	hydrophobic
2652	hydrophilic
2664	hydrophobic
2665	hydrophobic
2668	hydrophobic
2670	hydrophobic
2673	hydrophobic
2676	hydrophobic
2678	hydrophilic
2678	hydrophilic
2687	hydrophilic
2688	hydrophobic
2689	hydrophobic
2696	hydrophilic
2697	hydrophobic
2701	hydrophobic
2705	hydrophilic
2717	hydrophobic
2719	hydrophobic
2720	hydrophobic
2729	hydrophobic
2730	hydrophobic
2731	hydrophobic
2733	hydrophobic
2737	hydrophobic
2745	hydrophobic
2760	hydrophilic
2764	hydrophobic
2779	hydrophobic
2781	hydrophobic
2784	hydrophobic
2798	hydrophilic
2799	hydrophobic
2800	hydrophobic
2803	hydrophobic
2805	hydrophobic
2806	hydrophobic
2811	hydrophobic
2814	hydrophilic
2815	hydrophilic
2817	hydrophobic
2821	hydrophobic
2833	hydrophilic
2852	hydrophilic
2876	hydrophobic
2877	hydrophobic
2878	hydrophobic
2879	hydrophobic
2880	hydrophobic
2880	hydrophobic
2890	hydrophobic
2891	hydrophobic
2892	hydrophobic
2893	hydrophobic
2895	hydrophobic
2896	hydrophobic
2897	hydrophobic
2898	hydrophobic
2899	hydrophobic
2900	hydrophobic
2902	hydrophobic
2902	hydrophobic
2903	hydrophobic
2904	hydrophobic
2905	hydrophobic
2906	hydrophobic
2911	hydrophobic
2912	hydrophilic
2913	hydrophilic
2914	hydrophobic
2915	hydrophobic
2916	hydrophilic
2918	hydrophobic
2919	hydrophilic
2926	hydrophobic
2938	hydrophobic
2941	hydrophobic
2944	hydrophobic
2946	hydrophobic
2949	hydrophobic
2950	hydrophobic
2952	hydrophilic
2953	hydrophobic
2954	hydrophobic
2957	hydrophobic
2958	hydrophobic
2960	hydrophobic
2963	hydrophobic
2965	hydrophobic
2966	hydrophobic
2971	hydrophobic
2975	hydrophobic
2990	hydrophobic
2993	hydrophobic
2994	hydrophilic
2995	hydrophobic
2996	hydrophilic
3001	hydrophobic
3002	hydrophobic
3003	hydrophobic
3014	hydrophobic
3015	hydrophobic
3020	hydrophobic
3026	hydrophobic
3032	hydrophobic
3034	hydrophobic
3036	hydrophilic
3039	hydrophilic
3040	hydrophilic
3043	hydrophilic
3045	hydrophobic
3047	hydrophobic
3048	hydrophobic
3053	hydrophobic
3060	hydrophilic
3061	hydrophilic
3062	hydrophilic
3064	hydrophobic
3066	hydrophobic
3073	hydrophobic
3074	hydrophobic
3077	hydrophobic
3078	hydrophobic
3081	hydrophobic
3082	hydrophobic
3084	hydrophobic
3084	hydrophobic
3084	hydrophobic
3084	hydrophobic
3084	hydrophobic
3084	hydrophobic
3084	hydrophobic
3084	hydrophobic
3084	hydrophobic
3087	hydrophobic
3092	hydrophobic
3098	hydrophobic
3101	hydrophilic
3106	hydrophobic
3112	hydrophobic
3119	hydrophobic
3123	hydrophobic
3148	hydrophobic
3156	hydrophilic
3161	hydrophobic
3161	hydrophobic
3162	hydrophobic
3175	hydrophobic
3176	hydrophobic
3177	hydrophilic
3178	hydrophobic
3181	hydrophobic
3183	hydrophobic
3184	hydrophobic
3184	hydrophobic
3184	hydrophobic
3189	hydrophobic
3189	hydrophobic
3190	hydrophobic
3191	hydrophobic
3192	hydrophobic
3192	hydrophobic
3199	hydrophobic
3201	hydrophobic
3209	hydrophobic
3211	hydrophobic
3212	hydrophobic
3217	hydrophobic
3221	hydrophobic
3223	hydrophobic
3235	hydrophobic
3236	hydrophobic
3239	hydrophobic
3240	hydrophobic
3248	hydrophobic
3249	hydrophobic
3251	hydrophobic
3263	hydrophobic
3267	hydrophobic
3269	hydrophobic
3270	hydrophobic
3274	hydrophilic
3281	hydrophobic
3283	hydrophobic
3284	hydrophobic
3291	hydrophilic
3293	hydrophilic
3294	hydrophilic
3299	hydrophobic
3303	hydrophobic
3310	hydrophobic
3316	hydrophobic
3344	hydrophobic
3347	hydrophobic
3358	hydrophilic
3363	hydrophilic
3364	hydrophobic
3375	hydrophilic
3376	hydrophobic
3376	hydrophobic
3383	hydrophobic
3384	hydrophobic
3385	hydrophobic
3386	hydrophilic
3386	hydrophilic
3394	hydrophobic
3396	hydrophobic
3399	hydrophilic
3417	hydrophobic
3418	hydrophobic
3421	hydrophobic
3422	hydrophobic
3423	hydrophobic
3423	hydrophobic
3425	hydrophobic
3431	hydrophobic
3433	hydrophobic
3442	hydrophobic
3459	hydrophobic
3467	hydrophobic
3476	hydrophobic
3479	hydrophobic
3480	hydrophobic
3481	hydrophobic
3483	hydrophilic
3484	hydrophobic
3485	hydrophobic
3486	hydrophobic
3487	hydrophobic
3488	hydrophobic
3489	hydrophobic
3512	hydrophobic
3543	hydrophobic
3550	hydrophobic
3553	hydrophobic
3554	hydrophobic
3556	hydrophobic
3559	hydrophobic
3560	hydrophobic
3561	hydrophobic
3566	hydrophobic
3567	hydrophobic
3568	hydrophobic
3569	hydrophobic
3570	hydrophobic
3572	hydrophobic
3574	hydrophobic
3575	hydrophobic
3576	hydrophobic
3578	hydrophilic
3579	hydrophilic
3581	hydrophobic
3586	hydrophobic
3587	hydrophobic
3589	hydrophilic
3593	hydrophobic
3595	hydrophobic
3597	hydrophobic
3600	hydrophilic
3601	hydrophobic
3605	hydrophobic
3606	hydrophobic
3609	hydrophobic
3611	hydrophobic
3622	hydrophobic
3623	hydrophobic
3624	hydrophobic
3625	hydrophobic
3627	hydrophilic
3628	hydrophobic
3630	hydrophilic
3631	hydrophobic
3631	hydrophobic
3636	hydrophobic
3641	hydrophobic
3642	hydrophobic
3643	hydrophobic
3651	hydrophobic
3652	hydrophobic
3655	hydrophobic
3656	hydrophobic
3659	hydrophobic
3660	hydrophobic
3661	hydrophobic
3663	hydrophobic
3665	hydrophobic
3665	hydrophobic
3665	hydrophobic
3665	hydrophobic
3670	hydrophobic
3673	hydrophobic
3674	hydrophobic
