tracking_id	locus	nearest_ref_id	class_code	transcript_length	kidneyChr21	kidneyChr21	liverChr21	liverChr21
Gene_00031	chr1:12269213-12269253	NM_001066	c		0	0	0	0
Gene_00032	chr1:14059341-14059381	NM_015866	e		665.789	51	262.322	18
Gene_00033	chr1:14068524-14068617	NM_015866	c		36.742	5	49.2199	6
Gene_00034	chr1:14105061-14105448	NM_001007257	c		8149.02	466	7164.44	367
Gene_00035	chr1:14106779-14107464	NM_001007257	c		93.2836	4	182.238	7
Gene_00036	chr1:14106779-14107464	NM_001007257	c		28.6638	1	95.9957	3
Gene_00037	chr1:14108616-14108745	NM_001007257	c		352.56	19	269.289	13
Gene_00038	chr1:15392623-15392745	NM_001017999	c		121.463	5	0	0
Gene_00039	chr1:15755125-15755352	NM_024329	c		0	0	0	0
Gene_00040	chr1:15756532-15756755	NM_024329	c		62.9614	5	28.1145	2
Gene_00041	chr1:15894895-15894963	NM_015291	c		538.928	33	546.934	30
Gene_00042	chr1:15978269-15978367	NM_032341	c		29.4654	3	10.9645	1
Gene_00043	chr1:15986911-15986954	NM_006511	c		2383.08	86	928.019	30
Gene_00044	chr1:15988184-15988286	-	-		444.777	61	40.6985	5
Gene_00045	chr1:16011064-16011104	NM_015164	c		226.211	15	151.517	9
Gene_00046	chr1:16045080-16046270	NM_015164	c		439.828	79	596.655	96
Gene_00047	chr1:16247359-16247429	NM_015001	.		13.3598	1	0	0
Gene_00048	chr1:16254619-16254927	NM_015001	c		204.569	14	228.369	14
Gene_00049	chr1:16254619-16254927	NM_015001	c		33.0887	1	36.9382	1
Gene_00050	chr1:16255147-16255242	NM_015001	c		0	0	0	0
Gene_00051	chr1:16719717-16719933	NM_001114600	e		0	0	0	0
Gene_00052	chr1:16723105-16723294	NM_001114600	c		64.565	4	0	0
Gene_00053	chr1:16723957-16724148	NM_001114600	c		0	0	0	0
Gene_00054	chr1:16774566-16774634	NM_001145277	c		0	0	0	0
Gene_00055	chr1:19923555-19923595	NM_001032363	.		0	0	31.171	1
Gene_00056	chr1:19952929-19953095	NM_001032363	c		150.236	28	137.765	23
Gene_00057	chr1:20235501-20235635	NM_015207	c		0	0	0	0
Gene_00058	chr1:20945205-20945295	NM_001785	c		0	0	43.7106	2
Gene_00059	chr1:20971007-20971068	NM_032409	c		0	0	0	0
Gene_00060	chr1:20972058-20972101	NM_032409	c		238.944	53	256.676	51
Gene_00061	chr1:22417954-22418032	NM_001791	c		5338.52	228	4704.95	180
Gene_00062	chr1:22418905-22419140	NM_001791	c		288.365	11	29.2649	1
Gene_00063	chr1:22419286-22419387	NM_001791	c		360.447	32	11103.2	883
Gene_00064	chr1:24020217-24022523	NM_000975	c		2878.17	187	1563.55	91
Gene_00065	chr1:24020217-24022523	NM_000975	.		25.5824	2	71.3966	5
Gene_00066	chr1:24078304-24078344	NM_003198	c		103.088	9	0	0
Gene_00067	chr1:24078893-24078989	NM_003198	e		287.142	23	696.843	50
Gene_00068	chr1:24082417-24082490	NM_003198	c		0	0	0	0
Gene_00069	chr1:24087105-24087750	NM_003198	c		2945.89	201	65.445	4
Gene_00070	chr1:24112174-24112220	NM_020362	c		191.784	25	68.5106	8
Gene_00071	chr1:24114049-24114358	NM_020362	c		3422.69	793	4085.89	848
Gene_00072	chr1:24286326-24286430	NM_017761	c		4967.76	720	1856.27	241
Gene_00073	chr1:24287450-24288289	NM_017761	c		825.792	123	1154.2	154
Gene_00074	chr1:24287450-24288289	NM_017761	c		4684.07	179	204.486	7
Gene_00075	chr1:24288563-24288807	NM_017761	c		767.135	45	494.799	26
Gene_00076	chr1:24859611-24859730	NM_013441	c		8063.08	182	3560.89	72
Gene_00077	chr1:24861688-24861745	NM_013441	c		247.643	21	434.427	33
Gene_00078	chr1:24862008-24862093	NM_013441	c		842.627	89	137.4	13
Gene_00079	chr1:24973157-24973274	NM_005839	.		358.21	100	147.957	37
Gene_00080	chr1:24975066-24976576	NM_005839	c		215.721	15	160.545	10
Gene_00081	chr1:24981355-24981559	NM_005839	c		239.364	14	76.3462	4
Gene_00082	chr1:24996678-24996751	NM_005839	c		335.842	25	464.894	31
Gene_00083	chr1:24997888-24997929	NM_005839	c		204.996	54	186.466	44
Gene_00084	chr1:25168048-25168671	NM_013943	c		0	0	4.57765	1
Gene_00085	chr1:25168048-25168671	NM_013943	c		1407.79	157	980.981	98
Gene_00086	chr1:25666962-25688449	NM_014313	c		0	0	0	0
Gene_00087	chr1:25687148-25687229	NM_014313	.		13.0605	1	29.16	2
Gene_00088	chr1:25817906-25817974	NM_018202	c		35.1218	1	0	0
Gene_00089	chr1:25825085-25825130	NM_018202	c		0	0	0	0
Gene_00090	chr1:26449582-26449638	NR_026685	c		1219.02	289	508.551	108
Gene_00091	chr1:26449833-26449911	NR_026685	c		444.377	80	130.22	21
Gene_00092	chr1:26606615-26607396	NM_031286	c		1913.76	241	3288.83	371
Gene_00093	chr1:26607615-26607804	NM_031286	c		1101.26	34	578.534	16
Gene_00094	chr1:26644453-26652141	NM_001803	=		1053.15	50	94.0536	4
Gene_00095	chr1:26644453-26652141	NM_001803	c		1519.73	110	10595.6	687
Gene_00096	chr1:26798997-26799106	NM_005517	c		168.829	30	213.6	34
Gene_00097	chr1:26898743-26898783	NM_001006665	c		494.087	75	470.672	64
Gene_00098	chr1:27057666-27057865	NM_006015	c		0	0	35.3339	4
Gene_00099	chr1:27057932-27058037	NM_006015	c		326.773	67	468.238	86
Gene_00100	chr1:27094327-27094369	NM_006015	c		2280.23	102	648.855	26
Gene_00101	chr1:27105737-27105840	NM_006015	c		15.3508	1	0	0
Gene_00102	chr1:27105960-27106007	NM_006015	c		658.204	90	506.181	62
Gene_00103	chr1:27106179-27106225	NM_006015	c		122.368	31	52.8789	12
Gene_00104	chr1:27106917-27106957	NM_006015	c		504.158	56	110.552	11
Gene_00105	chr1:27107250-27107491	NM_006015	c		1200.68	251	1500.57	281
Gene_00106	chr1:27181324-27181416	NM_032283	c		353.46	38	706.092	68
Gene_00107	chr1:27633881-27633969	NM_015023	c		1391.27	106	1054.96	72
Gene_00108	chr1:28177747-28177830	NM_138558	c		28.2199	2	15.7515	1
Gene_00109	chr1:28564440-28564611	NM_178191	c		1099.76	73	1547.24	92
Gene_00110	chr1:28800075-28800316	NM_023923	c		64.9452	7	269.289	26
Gene_00111	chr1:28858745-28858805	NM_001269	c		494.957	135	847.228	207
Gene_00112	chr1:28975128-28975593	NR_004407	=		413.247	24	172.996	9
Gene_00113	chr1:28975128-28975593	-	-		231.542	30	129.24	15
Gene_00114	chr1:29313960-29314410	NM_203342	c		36.3028	1	121.579	3
Gene_00115	chr1:29319851-29319976	NM_203342	.		3046.65	315	205.145	19
Gene_00116	chr1:29323726-29342251	NM_203342	.		11.7403	1	13.1061	1
Gene_00117	chr1:29323726-29342251	NM_203342	c		0	0	0	0
Gene_00118	chr1:29344758-29344908	NM_203342	c		0	0	0	0
Gene_00119	chr1:29359642-29359752	NM_203342	c		0	0	0	0
Gene_00120	chr1:29379692-29387001	NM_004437	e		0	0	0	0
Gene_00121	chr1:29391487-29391670	NM_203342	e		0	0	0	0
Gene_00122	chr1:29424348-29435938	NM_203342	c		0	0	0	0
Gene_00123	chr1:29438887-29438927	NM_203342	.		0	0	0	0
Gene_00124	chr1:29443596-29443656	NM_203342	c		0	0	0	0
Gene_00125	chr1:29443807-29444109	NM_203342	c		0	0	0	0
Gene_00126	chr1:29444230-29444815	NM_203342	c		0	0	0	0
Gene_00127	chr1:29444884-29444993	NM_203342	c		0	0	0	0
Gene_00128	chr1:29445246-29445379	NM_203342	c		0	0	0	0
Gene_00129	chr1:29445477-29445630	NM_203342	c		0	0	0	0
Gene_00130	chr1:29445798-29445954	NM_203342	c		0	0	0	0
Gene_00131	chr1:29446146-29446232	NM_203342	c		0	0	0	0
Gene_00132	chr1:31819490-31837023	NM_016505	c		0	0	0	0
Gene_00133	chr1:31837215-31837285	NM_016505	c		0	0	0	0
Gene_00134	chr1:31902326-31902366	NM_178865	c		0	0	0	0
Gene_00135	chr1:32498789-32498872	NM_006559	c		0	0	0	0
Gene_00136	chr1:32508642-32508771	NM_006559	c		0	0	0	0
Gene_00137	chr1:32508901-32509324	NM_006559	c		0	0	0	0
Gene_00138	chr1:32508901-32509324	NM_006559	c		0	0	0	0
Gene_00139	chr1:32625013-32625088	NM_012316	c		0	0	0	0
Gene_00140	chr1:32638298-32638607	NM_012316	c		0	0	0	0
Gene_00141	chr1:32638298-32638607	NM_012316	c		0	0	0	0
Gene_00142	chr1:32638703-32638752	NM_012316	c		0	0	0	0
Gene_00143	chr1:32662053-32662188	NM_175852	c		0	0	0	0
Gene_00144	chr1:32768222-32768407	NM_004964	c		0	0	0	0
Gene_00145	chr1:32790112-32790152	NM_004964	c		0	0	0	0
Gene_00146	chr1:32794670-32794719	NM_004964	.		0	0	0	0
Gene_00147	chr1:32797095-32797140	NM_004964	.		0	0	0	0
Gene_00148	chr1:32797753-32797800	NM_004964	c		0	0	0	0
Gene_00149	chr1:32798639-32798679	NM_004964	c		0	0	0	0
Gene_00150	chr1:32798879-32798926	NM_004964	c		0	0	0	0
Gene_00151	chr1:33133881-33133952	NM_001135255	c		0	0	0	0
Gene_00152	chr1:33146152-33146254	NM_001135255	c		0	0	0	0
Gene_00153	chr1:33147008-33147226	NM_001135255	c		0	0	0	0
Gene_00154	chr1:33147372-33147412	NM_001135255	c		0	0	0	0
Gene_00155	chr1:33147524-33147843	NM_001135255	c		0	0	0	0
Gene_00156	chr1:33747315-33747391	NM_152493	c		0	0	0	0
Gene_00157	chr1:35824524-35824614	NM_005095	c		0	0	0	0
Gene_00158	chr1:35836091-35836192	NM_005095	c		0	0	0	0
Gene_00159	chr1:35854552-35854606	NM_005095	c		0	0	0	0
Gene_00160	chr1:35854619-35855687	NM_005095	c		0	0	0	0
Gene_00161	chr1:35858245-35859341	NM_005095	.		0	0	0	0
Gene_00162	chr1:36385323-36385460	NM_012199	c		42.1259	1	0	0
Gene_00163	chr1:36386047-36386206	NM_012199	c		0	0	0	0
Gene_00164	chr1:36386993-36387033	NM_012199	c		98.6502	8	68.8294	5
Gene_00165	chr1:36475094-36475134	NM_024852	c		0	0	0	0
Gene_00166	chr1:36479235-36479335	NM_024852	c		6.34134	1	0	0
Gene_00167	chr1:36479552-36479595	NM_024852	c		0	0	0	0
Gene_00168	chr1:36715279-36725088	NM_005119	o		297.045	73	59.0526	13
Gene_00169	chr1:36751965-36752204	NM_005119	c		11.6372	1	285.803	22
Gene_00170	chr1:36752827-36752873	NM_005119	.		1547.79	253	1611.76	236
Gene_00171	chr1:36754652-36754694	NM_005119	e		696.232	146	436.527	82
Gene_00172	chr1:36754928-36755046	NM_005119	c		163.77	13	98.4433	7
Gene_00173	chr1:36766498-36766561	NM_005119	.		0	0	22.1831	1
Gene_00174	chr1:36767169-36767230	NM_005119	c		370.827	54	544.292	71
Gene_00175	chr1:36770337-36770377	NM_005119	c		0	0	0	0
Gene_00176	chr1:38158603-38158706	NM_018101	e		1692.81	68	1139.41	41
Gene_00177	chr1:38484994-38485044	NM_016037	c		8863.12	301	2596.83	79
Gene_00178	chr1:39469892-39469948	NM_024595	c		501.49	62	270.887	30
Gene_00179	chr1:39470054-39470472	NM_024595	c		108.295	11	120.894	11
Gene_00180	chr1:39471040-39471089	NM_024595	c		323.568	54	133.782	20
Gene_00181	chr1:39500073-39500162	NM_004552	.		7.88081	1	8.79766	1
Gene_00182	chr1:39798544-39798663	NM_033044	c		80.1589	3	0	0
Gene_00183	chr1:39800311-39800819	NM_033044	c		0	0	0	0
Gene_00184	chr1:39816626-39816666	NM_012090	c		0	0	0	0
Gene_00185	chr1:39823287-39823381	NM_012090	c		345.665	6	0	0
Gene_00186	chr1:39853825-39854323	NM_012090	c		0	0	0	0
Gene_00187	chr1:39888055-39888157	NM_012090	c		0	0	0	0
Gene_00188	chr1:39896487-39896582	NM_012090	.		59.2904	3	0	0
Gene_00189	chr1:39951360-39951523	NM_012090	c		0	0	0	0
Gene_00190	chr1:40525786-40529929	NM_006367	c		0	0	0	0
Gene_00191	chr1:40529933-40530006	NM_006367	c		0	0	0	0
Gene_00192	chr1:40530155-40530210	NM_006367	.		0	0	0	0
Gene_00193	chr1:40531927-40531975	NM_006367	c		1998.15	146	1084.75	71
Gene_00194	chr1:40533227-40535514	NM_006367	c		462.961	120	499.594	116
Gene_00195	chr1:40533227-40535514	NM_006367	c		175.935	13	0	0
Gene_00196	chr1:40536131-40536180	NM_006367	c		11.7167	1	0	0
Gene_00197	chr1:40537857-40538070	NM_006367	c		58.6247	4	16.3613	1
Gene_00198	chr1:40538216-40538291	NM_006367	c		245.687	89	209.554	68
Gene_00199	chr1:40723812-40723865	NM_005857	c		6763.48	129	58.5298	1
Gene_00200	chr1:40887716-40887872	NM_022733	c		526.431	40	58.7676	4
Gene_00201	chr1:40888521-40888883	NM_022733	c		1714.07	434	418.851	95
Gene_00202	chr1:40955241-40955283	NM_198494	c		3249.49	379	1215.56	127
Gene_00203	chr1:43149037-43149118	NM_004559	e		1225.98	45	273.722	9
Gene_00204	chr1:43161864-43162611	NM_004559	e		333.926	57	255.056	39
Gene_00205	chr1:44133624-44133664	NM_014663	c		133.975	46	3.25133	1
Gene_00206	chr1:45101710-45101776	NM_018150	c		719.258	119	404.842	60
Gene_00207	chr1:45243301-45243457	NM_001012	c		0	0	0	0
Gene_00208	chr1:45243727-45244571	NM_001012	c		80.0227	21	89.3325	21
Gene_00209	chr1:46067947-46073190	NM_002482	c		1795.92	138	523.005	36
Gene_00210	chr1:46067947-46073190	NM_002482	c		0	0	0	0
Gene_00211	chr1:46079962-46080003	NM_002482	e		1266.32	49	1500.19	52
Gene_00212	chr1:46080776-46081116	NM_002482	c		8150.81	765	3437.43	289
Gene_00213	chr1:46500540-46500580	NM_015112	c		375.567	42	179.683	18
Gene_00214	chr1:46828806-46828882	NM_199044	c		44.4603	3	0	0
Gene_00215	chr1:46828945-46828994	NM_199044	c		2121.73	211	5287.18	471
Gene_00216	chr1:47827697-47842284	NM_016308	.		489.365	65	790.031	94
Gene_00217	chr1:47843464-47843645	NM_016308	c		223.279	59	185.885	44
Gene_00218	chr1:50200959-50213651	-	-		193.588	12	342.174	19
Gene_00219	chr1:50200959-50213651	-	-		338.1	59	307.066	48
Gene_00220	chr1:50200959-50213651	-	-		234.745	11	0	0
Gene_00221	chr1:50200959-50213651	-	-		40.1782	11	65.24	16
Gene_00222	chr1:51718474-51736994	NM_014372	.		958.581	56	936.339	49
Gene_00223	chr1:51737134-51738195	NM_014372	c		51.3676	2	200.703	7
Gene_00224	chr1:51737134-51738195	NM_014372	c		15.4402	1	103.419	6
Gene_00225	chr1:51737134-51738195	NM_014372	c		480.195	58	351.212	38
Gene_00226	chr1:51737134-51738195	NM_014372	c		518.971	76	632.708	83
Gene_00227	chr1:51738250-51738555	NM_014372	c		498.697	22	101.221	4
Gene_00228	chr1:52253059-52253549	NM_148904	c		508.378	82	193.788	28
Gene_00229	chr1:52253729-52253864	NM_148904	c		858.25	146	45.9362	7
Gene_00230	chr1:52552447-52552487	NR_024350	c		123.261	12	103.2	9
Gene_00231	chr1:52552984-52553198	NR_024350	c		160.171	17	63.1077	6
Gene_00232	chr1:52704802-52704874	NM_004799	c		1067.73	424	154.616	55
Gene_00233	chr1:52882998-52883597	NM_032864	c		0	0	0	0
Gene_00234	chr1:52882998-52883597	NM_032864	c		23320.9	772	36218.3	1074
Gene_00235	chr1:53480633-53480708	NM_001007250	c		2812.8	888	2563.66	725
Gene_00236	chr1:53504589-53516316	NM_001007100	.		3758.83	233	2665.36	148
Gene_00237	chr1:54520063-54520163	NM_153035	c		291.183	71	173.975	38
Gene_00238	chr1:54534431-54534476	NM_153035	c		10.8127	1	60.3534	5
Gene_00239	chr1:54562411-54562461	NM_153035	c		0	0	0	0
Gene_00240	chr1:54563036-54563282	NM_153035	c		0	0	0	0
Gene_00241	chr1:54563357-54563600	NM_153035	c		261.836	6	682.029	14
Gene_00242	chr1:55183164-55183204	NM_004623	o		97.1974	24	180.842	40
Gene_00243	chr1:59658358-59661149	-	-		1787.57	143	1102.43	79
Gene_00244	chr1:60341400-60341490	NM_015888	c		4297.1	472	853.708	84
Gene_00245	chr1:60341573-60341613	NM_015888	c		140.6	15	41.8554	4
Gene_00246	chr1:61548333-61548452	NM_005595	c		0	0	0	0
Gene_00247	chr1:61553852-61553892	NM_001145512	c		865.875	207	532.336	114
Gene_00248	chr1:61922359-61922405	NM_001145512	c		0	0	5.53821	1
Gene_00249	chr1:61922528-61922593	NM_001145512	c		1553.49	485	1022.65	286
Gene_00250	chr1:62910407-62935332	NM_001017415	c		2229.2	78	1563.32	49
Gene_00251	chr1:64014717-64014926	NR_002771	c		0	0	13.0588	1
Gene_00252	chr1:64034071-64034163	NM_032437	c		3083.75	320	2754.01	256
Gene_00253	chr1:65247111-65247151	NM_018211	c		16.6198	3	0	0
Gene_00254	chr1:65854015-65854070	NM_014787	e		156.436	58	102.373	34
Gene_00255	chr1:65899252-65899325	NM_017526	c		1641.91	171	1275.55	119
Gene_00256	chr1:66070724-66070764	NM_001003680	c		938.844	160	399.576	61
Gene_00257	chr1:66838948-66839014	NM_001037339	c		238.429	19	84.0531	6
Gene_00258	chr1:66839179-66839331	NM_001037339	c		1576.24	85	393.326	19
Gene_00259	chr1:67423737-67423899	NM_020948	.		171.5	44	278.476	64
